frame,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10,id11,id12,id13,id14,id15,id16,id17,id18,id19,id20,id21,id22,id23,id24,id25,id26,id27,id28,id29,id30,id31,id32,id33,id34,id35,id36,id37,id38,id39,id40,id41,id42,id43,id44,id45,id46,id47,id48,id49,id50,id51,id52,id53,id54,id55,id56,id57,id58,id59,id60,id61,id62,id63,id64,id65,id66,id67,id68,id69,id70,id71,id72,id75,id80,id81,id82,id83,id85,id86,id87,id101,id105,id109,id111,id115,id118,id119,id120,id124,id127,id134,id137,id140,id144,id145,id146,id147,id150,id152,id153,id154,id158,id159,id166,id167,id171,id172,id173,id176,id177,id179,id185,id188,id190,id198,id200,id201,id203,id211,id212,id215,id216,id217,id218,id219,id221,id228,id229,id230,id233,id236,id242,id249,id253,id255,id258,id262,id264,id268
10,"(468.02, 352.79)","(151.38, 290.42)",,"(462.53, 330.48)","(478.75, 272.82)","(186.61, 311.51)","(292.69, 310.94)","(554.57, 275.83)","(429.63, 325.71)","(724.44, 335.55)","(91.72, 317.06)","(680.32, 327.13)","(175.02, 334.85)","(421.95, 366.16)","(286.00, 356.28)",,"(603.14, 323.99)",,,"(66.51, 360.09)",,,,"(83.92, 362.37)",,"(292.14, 362.10)",,,,,,,"(284.06, 333.18)",,,,,"(692.62, 363.39)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"(469.00, 354.17)","(152.08, 290.69)",,"(464.84, 326.97)","(477.84, 274.12)","(188.91, 313.54)","(293.01, 309.51)","(553.86, 272.33)","(430.96, 322.50)","(723.47, 334.00)","(91.88, 317.07)","(680.40, 324.44)","(177.01, 330.99)","(423.09, 366.50)","(286.37, 356.06)",,"(602.54, 320.73)",,,"(66.50, 359.99)",,,,"(83.91, 361.84)",,"(291.90, 362.42)",,,,,,,"(284.30, 332.62)",,,,,"(694.39, 363.51)",,,,,"(91.00, 359.75)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"(468.33, 356.62)","(152.51, 291.96)",,"(467.13, 324.63)","(477.57, 275.81)","(191.74, 314.78)","(292.69, 308.23)","(553.33, 268.04)","(432.18, 318.91)","(722.59, 334.06)","(91.81, 317.17)","(680.65, 321.62)","(179.39, 327.31)","(424.22, 366.47)","(285.51, 355.16)",,"(601.84, 318.58)",,,"(66.16, 360.05)",,,,"(83.14, 361.80)",,"(290.31, 362.63)",,,,,,,"(283.67, 331.30)",,,,,"(695.48, 363.40)",,"(560.20, 365.62)",,,"(90.61, 358.34)",,,,"(591.10, 362.81)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"(467.75, 359.11)","(153.22, 292.87)",,"(468.35, 322.50)","(477.14, 275.99)","(193.06, 316.95)","(292.47, 307.47)","(552.37, 262.79)","(432.99, 316.38)","(722.22, 334.04)","(91.72, 317.37)","(679.83, 318.39)","(181.30, 324.33)","(424.63, 366.47)","(285.06, 353.65)",,"(600.46, 315.69)",,,"(66.20, 360.00)",,,,"(83.65, 361.79)",,"(288.71, 362.00)",,,,,,,"(283.39, 330.23)",,,,,,,"(560.27, 365.64)",,,"(92.84, 353.60)",,,,"(589.25, 362.39)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"(468.84, 361.20)","(153.85, 294.24)",,"(468.63, 322.58)","(477.38, 276.27)","(196.09, 317.38)","(292.80, 307.11)","(552.48, 258.60)","(433.90, 313.19)","(722.60, 333.86)","(91.02, 316.46)","(679.83, 314.75)","(183.60, 320.50)","(424.70, 366.42)","(284.98, 351.91)",,"(600.99, 313.57)",,,"(66.45, 360.65)",,,,"(83.14, 362.25)",,"(289.51, 361.43)",,,,,,,"(283.88, 328.97)",,,,,,,"(559.56, 365.63)",,,"(93.04, 349.91)",,,,"(587.98, 362.03)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"(469.65, 363.85)","(153.53, 295.39)",,"(468.68, 322.66)","(477.22, 276.54)","(198.90, 319.42)","(292.80, 307.10)","(552.46, 254.07)","(434.70, 310.32)","(721.39, 333.99)","(90.53, 314.52)","(679.40, 310.82)","(184.70, 317.31)","(424.73, 366.43)","(284.57, 349.86)",,"(600.77, 310.74)",,,"(66.42, 360.65)",,,,"(83.06, 362.56)",,"(291.03, 361.46)",,,,,,,"(283.68, 327.73)",,,"(708.51, 363.78)",,,,"(557.63, 365.37)",,,"(92.81, 347.02)",,,,"(585.56, 361.88)",,,,,,,,,,,"(342.61, 346.01)",,"(460.78, 343.46)",,"(40.34, 360.61)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"(471.30, 365.70)","(153.18, 296.58)",,"(468.48, 322.60)","(477.00, 277.75)","(201.23, 321.34)","(292.40, 306.80)","(552.20, 249.61)","(434.44, 307.51)","(719.62, 335.42)",,"(679.32, 307.36)","(185.65, 314.23)","(424.73, 366.38)","(283.97, 347.08)",,"(600.54, 308.14)",,,"(65.81, 360.63)",,,,"(83.35, 362.35)",,"(291.11, 361.59)",,,,,,,"(283.74, 326.28)",,,,,,,"(556.71, 365.38)",,,"(92.46, 345.14)",,,,"(581.66, 362.29)",,,,,,,,,,,"(343.65, 343.26)",,"(460.65, 343.31)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"(472.34, 365.31)","(155.37, 298.14)",,"(468.55, 322.32)","(476.54, 280.03)","(203.74, 323.19)","(292.81, 306.60)","(552.44, 245.63)","(435.32, 304.00)","(717.01, 336.78)",,"(679.33, 303.81)","(187.13, 310.31)","(424.42, 366.31)","(284.23, 344.46)",,"(600.57, 305.00)",,,"(66.01, 360.66)",,,,"(83.61, 362.20)",,"(291.50, 361.33)",,,,"(335.36, 363.39)",,,"(284.27, 324.56)",,,,,,,"(557.14, 364.81)",,,"(92.36, 340.83)",,,,"(580.18, 362.72)",,,,,,,,,"(203.90, 361.72)",,"(345.22, 341.58)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"(472.97, 364.03)","(157.21, 299.77)",,"(472.48, 313.57)","(476.25, 282.74)","(205.30, 323.66)","(292.78, 306.44)","(552.49, 241.61)","(434.23, 299.48)","(713.99, 338.65)",,"(679.18, 299.48)","(186.34, 308.27)","(424.52, 366.41)","(284.01, 341.65)",,"(600.42, 301.42)",,,"(66.11, 360.72)",,,,"(83.77, 362.25)",,"(290.06, 361.37)",,,,"(335.26, 363.49)",,,"(284.37, 323.15)",,,,,,,"(557.78, 364.80)",,,"(92.34, 336.14)",,,,"(578.48, 363.83)",,,,,,,,,,,"(346.30, 340.01)",,,,,,,,,,"(571.06, 280.50)","(609.16, 327.99)","(686.59, 272.70)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"(474.93, 363.69)","(159.08, 300.97)",,,"(476.67, 283.33)","(206.81, 324.44)",,"(552.73, 237.40)","(434.92, 296.08)","(711.59, 340.27)",,"(678.59, 295.65)","(186.63, 304.71)","(424.54, 366.44)","(284.37, 339.10)",,"(600.56, 301.08)",,,"(66.06, 360.79)",,,,"(83.40, 362.20)",,"(289.45, 361.50)",,,,"(335.24, 363.53)",,,"(284.91, 321.36)",,,,,,,"(558.10, 365.15)",,,"(92.35, 331.47)",,,,"(575.98, 363.47)",,,,,,,,,,,"(347.05, 338.44)",,,,,,,,,,"(573.84, 278.10)","(608.76, 327.90)","(686.50, 268.62)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
